nbapersonid,player,draftyear,draftpick,season,nbateamid,team,games,games_start,mins,fgm,fga,fgp,fgm3,fga3,fgp3,fgm2,fga2,fgp2,efg,ftm,fta,ftp,off_reb,def_reb,tot_reb,ast,steals,blocks,tov,tot_fouls,points
76011,Alvan Adams,1975,4,1986,1610612756,PHX,68,40.0,1690.0,311,618,0.5032362459546925,0.0,1.0,0.0,311.0,617.0,0.5040518638573744,0.5032362459546925,134,170,0.788235294117647,91.0,247.0,338.0,223,62.0,37.0,139.0,207,756
76011,Alvan Adams,1975,4,1987,1610612756,PHX,82,25.0,1646.0,251,506,0.49604743083003955,1.0,2.0,0.5,250.0,504.0,0.49603174603174605,0.49703557312252966,108,128,0.84375,118.0,247.0,365.0,183,82.0,41.0,140.0,245,611
200801,Hassan Adams,2006,54,2006,1610612751,NJN,61,8.0,495.0,75,135,0.5555555555555556,0.0,1.0,0.0,75.0,134.0,0.5597014925373134,0.5555555555555556,24,36,0.6666666666666666,35.0,42.0,77.0,13,17.0,4.0,22.0,47,174
200801,Hassan Adams,2006,54,2008,1610612761,TOR,12,0.0,52.0,4,13,0.3076923076923077,0.0,0.0,0.0,4.0,13.0,0.3076923076923077,0.3076923076923077,3,6,0.5,1.0,6.0,7.0,1,1.0,1.0,4.0,4,11
1629121,Jaylen Adams,2018,,2018,1610612737,ATL,34,1.0,428.0,38,110,0.34545454545454546,25.0,74.0,0.33783783783783783,13.0,36.0,0.3611111111111111,0.4590909090909091,7,9,0.7777777777777778,11.0,49.0,60.0,65,14.0,5.0,28.0,45,108
1629121,Jaylen Adams,2018,,2020,1610612749,MIL,7,0.0,18.0,1,8,0.125,0.0,2.0,0.0,1.0,6.0,0.16666666666666666,0.125,0,0,0.0,0.0,3.0,3.0,2,0.0,0.0,0.0,1,2
203919,Jordan Adams,2014,22,2014,1610612763,MEM,30,0.0,248.0,35,86,0.4069767441860465,10.0,25.0,0.4,25.0,61.0,0.4098360655737705,0.46511627906976744,14,23,0.6086956521739131,9.0,19.0,28.0,16,16.0,7.0,14.0,24,94
203919,Jordan Adams,2014,22,2015,1610612763,MEM,2,0.0,15.0,2,6,0.3333333333333333,0.0,1.0,0.0,2.0,5.0,0.4,0.3333333333333333,3,5,0.6,0.0,2.0,2.0,3,3.0,0.0,2.0,2,7
149,Michael Adams,1985,66,1985,1610612758,SAC,18,0.0,139.0,16,44,0.36363636363636365,0.0,3.0,0.0,16.0,41.0,0.3902439024390244,0.36363636363636365,8,12,0.6666666666666666,2.0,4.0,6.0,22,9.0,1.0,11.0,9,40
149,Michael Adams,1985,66,1986,1610612764,WAS,63,0.0,1303.0,160,393,0.4071246819338422,28.0,102.0,0.27450980392156865,132.0,291.0,0.4536082474226804,0.44274809160305345,105,124,0.8467741935483871,38.0,85.0,123.0,244,85.0,6.0,81.0,88,453
149,Michael Adams,1985,66,1987,1610612743,DEN,82,75.0,2778.0,416,927,0.4487594390507012,139.0,379.0,0.36675461741424803,277.0,548.0,0.5054744525547445,0.5237324703344121,166,199,0.8341708542713567,40.0,183.0,223.0,503,168.0,16.0,144.0,138,1137
149,Michael Adams,1985,66,1988,1610612743,DEN,77,77.0,2787.0,468,1082,0.43253234750462105,166.0,466.0,0.3562231759656652,302.0,616.0,0.4902597402597403,0.5092421441774492,322,393,0.8193384223918575,71.0,212.0,283.0,490,166.0,11.0,180.0,149,1424
149,Michael Adams,1985,66,1989,1610612743,DEN,79,74.0,2690.0,398,989,0.4024266936299292,158.0,432.0,0.36574074074074076,240.0,557.0,0.43087971274685816,0.48230535894843274,267,314,0.8503184713375797,49.0,176.0,225.0,495,121.0,3.0,141.0,133,1221
149,Michael Adams,1985,66,1990,1610612743,DEN,66,66.0,2346.0,560,1421,0.39408866995073893,167.0,564.0,0.29609929078014185,393.0,857.0,0.45857642940490084,0.45285010555946514,465,529,0.8790170132325141,58.0,198.0,256.0,693,147.0,6.0,240.0,162,1752
149,Michael Adams,1985,66,1991,1610612764,WAS,78,78.0,2795.0,485,1233,0.3933495539334955,125.0,386.0,0.3238341968911917,360.0,847.0,0.42502951593860683,0.4440389294403893,313,360,0.8694444444444445,58.0,252.0,310.0,594,145.0,9.0,212.0,162,1408
149,Michael Adams,1985,66,1992,1610612764,WAS,70,70.0,2499.0,365,831,0.43922984356197353,68.0,212.0,0.32075471698113206,297.0,619.0,0.4798061389337641,0.48014440433212996,237,277,0.855595667870036,52.0,188.0,240.0,526,100.0,4.0,175.0,146,1035
149,Michael Adams,1985,66,1993,1610612764,WAS,70,67.0,2337.0,285,698,0.40830945558739257,55.0,191.0,0.2879581151832461,230.0,507.0,0.4536489151873767,0.4477077363896848,224,270,0.8296296296296296,37.0,146.0,183.0,480,96.0,6.0,167.0,140,849
149,Michael Adams,1985,66,1994,1610612766,CHH,29,0.0,443.0,67,148,0.4527027027027027,29.0,81.0,0.35802469135802467,38.0,67.0,0.5671641791044776,0.5506756756756757,25,30,0.8333333333333334,6.0,23.0,29.0,95,23.0,1.0,26.0,41,188
149,Michael Adams,1985,66,1995,1610612766,CHH,21,3.0,329.0,37,83,0.4457831325301205,14.0,41.0,0.34146341463414637,23.0,42.0,0.5476190476190477,0.5301204819277109,26,35,0.7428571428571429,5.0,17.0,22.0,67,21.0,4.0,25.0,25,114
203500,Steven Adams,2013,12,2013,1610612760,OKC,81,20.0,1197.0,93,185,0.5027027027027027,0.0,0.0,0.0,93.0,185.0,0.5027027027027027,0.5027027027027027,79,136,0.5808823529411765,142.0,190.0,332.0,43,40.0,57.0,71.0,203,265
203500,Steven Adams,2013,12,2014,1610612760,OKC,70,67.0,1771.0,217,399,0.543859649122807,0.0,2.0,0.0,217.0,397.0,0.5465994962216625,0.543859649122807,103,205,0.5024390243902439,199.0,324.0,523.0,66,38.0,86.0,99.0,222,537
203500,Steven Adams,2013,12,2015,1610612760,OKC,80,80.0,2014.0,261,426,0.6126760563380281,0.0,0.0,0.0,261.0,426.0,0.6126760563380281,0.6126760563380281,114,196,0.5816326530612245,219.0,314.0,533.0,62,42.0,89.0,84.0,223,636
203500,Steven Adams,2013,12,2016,1610612760,OKC,80,80.0,2389.0,374,655,0.5709923664122137,0.0,1.0,0.0,374.0,654.0,0.5718654434250765,0.5709923664122137,157,257,0.6108949416342413,281.0,332.0,613.0,86,89.0,78.0,146.0,195,905
203500,Steven Adams,2013,12,2017,1610612760,OKC,76,76.0,2487.0,448,712,0.6292134831460674,0.0,2.0,0.0,448.0,710.0,0.6309859154929578,0.6292134831460674,160,286,0.5594405594405595,384.0,301.0,685.0,88,92.0,78.0,128.0,215,1056
203500,Steven Adams,2013,12,2018,1610612760,OKC,80,80.0,2669.0,481,809,0.5945611866501854,0.0,2.0,0.0,481.0,807.0,0.5960346964064436,0.5945611866501854,146,292,0.5,391.0,369.0,760.0,124,117.0,76.0,135.0,204,1108
203500,Steven Adams,2013,12,2019,1610612760,OKC,63,63.0,1681.0,283,478,0.5920502092050209,1.0,3.0,0.3333333333333333,282.0,475.0,0.5936842105263158,0.5930962343096234,117,201,0.582089552238806,207.0,376.0,583.0,146,51.0,67.0,94.0,122,684
203500,Steven Adams,2013,12,2020,1610612740,NOP,58,58.0,1605.0,189,308,0.6136363636363636,0.0,3.0,0.0,189.0,305.0,0.6196721311475409,0.6136363636363636,60,135,0.4444444444444444,213.0,301.0,514.0,111,54.0,38.0,78.0,113,438
